Date,Cases,Deaths,Recovered,Travel_history,Province,City
7-Apr-21,5329,98,2610,Local - Social Contact,Gilgit-Baltistan,Kharmang
8-Apr-21,5312,105,2390,Iran/Taftan,Khyber Pakhtunkhwa,Peshawar
9-Apr-21,5139,100,1772,Local - Social Contact,Khyber Pakhtunkhwa,Peshawar
10-Apr-21,5050,114,4139,Local - Social Contact,Khyber Pakhtunkhwa,Abbottabad
11-Apr-21,4584,58,3135,Local - Social Contact,Federal Administration Tribal Area,Bajaur
12-Apr-21,4140,118,3432,Local - Social Contact,Khyber Pakhtunkhwa,Bannu
13-Apr-21,4681,135,3645,Local - Social Contact,Khyber Pakhtunkhwa,Charsadda
14-Apr-21,5395,118,4740,Local - Social Contact,Khyber Pakhtunkhwa,Dir Upper
15-Apr-21,5364,110,4123,Local - Social Contact,Khyber Pakhtunkhwa,Karak
16-Apr-21,4976,112,4181,Local - Social Contact,Federal Administration Tribal Area,Khyber
17-Apr-21,6127,149,4527,Local - Social Contact,Federal Administration Tribal Area,Kurrum
18-Apr-21,5152,73,3362,Local - Social Contact,Khyber Pakhtunkhwa,Orakzai
19-Apr-21,5445,137,4286,Local - Social Contact,Khyber Pakhtunkhwa,Shangla
20-Apr-21,5499,147,5488,Local - Social Contact,Khyber Pakhtunkhwa,Swat
21-Apr-21,5857,98,3986,Local - Social Contact,Azad Jummu Kashmir,Muzaffarabad
22-Apr-21,5870,144,5685,Local - Social Contact,Punjab,Lahore
23-Apr-21,5908,157,4198,Local - Social Contact,Punjab,Multan
24-Apr-21,5611,118,3324,Local - Social Contact,Punjab,Gujrat
25-Apr-21,4825,70,4234,Local - Social Contact,Punjab,Jehlum
26-Apr-21,4487,142,5770,Local - Social Contact,Punjab,Gujranwala
27-Apr-21,5292,201,4678,Local - Social Contact,Punjab,Rawalpindi
28-Apr-21,5480,150,3699,Local - Social Contact,Punjab,Faisalabad
29-Apr-21,5112,131,3272,Local - Social Contact,Punjab,Chiniot
30-Apr-21,4696,146,5544,Local - Social Contact,Punjab,Mandi Bahauddin
1-May-21,4414,113,5193,Local - Social Contact,Punjab,Gujrat
2-May-21,4213,79,5842,Local - Social Contact,Punjab,Jehlum
3-May-21,3377,161,5018,Local - Social Contact,Sindh,Karachi
4-May-21,4112,119,5665,Local - Social Contact,Sindh,Karachi
5-May-21,4198,108,4397,Local - Social Contact,Punjab,Gujranwala
6-May-21,4298,140,4631,Local - Social Contact,Punjab,Mandi Bahauddin
7-May-21,4109,120,4957,Local - Social Contact,Baluchistan,Quetta
8-May-21,3786,118,4569,Local - Social Contact,Punjab,Lahore
9-May-21,3447,78,4824,Local - Social Contact,Punjab,Lahore
10-May-21,3096,113,4387,Local - Social Contact,Khyber Pakhtunkhwa,Peshawar
11-May-21,2869,104,5200,Local - Social Contact,Khyber Pakhtunkhwa,Abbottabad
12-May-21,3265,104,4623,Local - Social Contact,Sindh,Karachi
13-May-21,2517,48,4123,Local - Social Contact,Sindh,Karachi
14-May-21,1531,83,3042,Local - Social Contact,Baluchistan,Quetta
15-May-21,2379,76,5288,Local - Social Contact,Punjab,Lahore
16-May-21,3232,74,3754,Local - Social Contact,Punjab,Lahore
17-May-21,2566,135,2989,Local - Social Contact,Punjab,Lahore
18-May-21,3256,104,4440,Local - Social Contact,Punjab,Lahore
19-May-21,4207,131,4171,Local - Social Contact,Sindh,Karachi
20-May-21,3070,102,6021,Local - Social Contact,Sindh,Karachi
