Date,Cases,Deaths,Recovered,Travel_history,Province,City
26-Sep-20,694,6,280,Local - Social Contact,Punjab,Gujrat
27-Sep-20,569,9,409,Iran/Taftan,Punjab,Raiwind
28-Sep-20,672,8,318,Local - Social Contact,Sindh,Karachi
29-Sep-20,747,5,541,Local - Social Contact,Sindh,Sukkur
30-Sep-20,543,5,616,Local - Social Contact,Baluchistan,Quetta
1-Oct-20,625,15,558,Local - Social Contact,Federal Administration Tribal Area,Bajaur
2-Oct-20,553,8,538,Iran/Taftan,Khyber Pakhtunkhwa,Peshawar
3-Oct-20,632,6,393,Iran/Taftan,Khyber Pakhtunkhwa,Bannu
4-Oct-20,644,4,850,Local - Social Contact,Khyber Pakhtunkhwa,Dera Ismail Khan
5-Oct-20,467,6,780,Local - Social Contact,Khyber Pakhtunkhwa,Dir Lower
6-Oct-20,624,12,672,Local - Social Contact,Khyber Pakhtunkhwa,Mansehra
7-Oct-20,583,9,1086,Local - Social Contact,Khyber Pakhtunkhwa,Mardan
8-Oct-20,661,8,334,Local - Social Contact,Khyber Pakhtunkhwa,Peshawar
9-Oct-20,671,6,354,Local - Social Contact,Islamabad Capital Territory,Islamabad
10-Oct-20,666,12,396,Iran/Taftan,Punjab,Dera Ghazi Khan
11-Oct-20,385,10,727,Local - Social Contact,Punjab,Rawalpindi
12-Oct-20,531,8,424,Local - Social Contact,Punjab,Mianwali
13-Oct-20,615,13,471,Local - Social Contact,Punjab,Rahim Yar Khan
14-Oct-20,755,13,315,Local - Social Contact,Punjab,Hafizabad
15-Oct-20,659,7,440,Local - Social Contact,Punjab,Kasur
16-Oct-20,575,17,805,Local - Social Contact,Punjab,Laiya
17-Oct-20,567,16,429,Local - Social Contact,Sindh,Hyderabad
18-Oct-20,433,5,340,Iran/Taftan,Sindh,Sukkur
19-Oct-20,632,14,611,Tableeghi Jamaat,Sindh,Hyderabad
20-Oct-20,660,19,654,Local - Social Contact,Sindh,Jacobabad
21-Oct-20,736,10,462,Iran/Taftan,Baluchistan,Quetta
22-Oct-20,736,13,510,Iran/Taftan,Gilgit Baltistan,Nagar
23-Oct-20,847,12,455,Iran/Taftan,Khyber Pakhtunkhwa,Peshawar
24-Oct-20,832,9,390,Local - Social Contact,Federal Administration Tribal Area,Bajaur
25-Oct-20,707,3,584,Local - Social Contact,Khyber Pakhtunkhwa,Dera Ismail Khan
26-Oct-20,773,6,365,Local - Social Contact,Khyber Pakhtunkhwa,Haripur
27-Oct-20,825,14,374,Local - Social Contact,Khyber Pakhtunkhwa,Kohat
28-Oct-20,908,16,824,Local - Social Contact,Khyber Pakhtunkhwa,Mardan
29-Oct-20,1078,20,889,Iran/Taftan,Federal Administration Tribal Area,Kurrum
30-Oct-20,807,11,539,Iran/Taftan,Khyber Pakhtunkhwa,Dera Ismail Khan
31-Oct-20,977,17,489,Iran/Taftan,Khyber Pakhtunkhwa,Peshawar
1-Nov-20,1123,12,461,Iran/Taftan,Azad Jummu Kashmir,Bhambore 
2-Nov-20,1167,14,430,Iran/Taftan,Azad Jummu Kashmir,Trarkhel
3-Nov-20,1313,18,614,Local - Social Contact,Khyber Pakhtunkhwa,Bannu
4-Nov-20,1302,26,605,Local - Social Contact,Khyber Pakhtunkhwa,Peshawar
5-Nov-20,1376,30,421,Local - Social Contact,Khyber Pakhtunkhwa,Nowshera
6-Nov-20,1502,20,812,Local - Social Contact,Khyber Pakhtunkhwa,Abbottabad
7-Nov-20,1436,25,519,Local - Social Contact,Khyber Pakhtunkhwa,Dir Upper
8-Nov-20,1650,9,464,Local - Social Contact,Khyber Pakhtunkhwa,Haripur
9-Nov-20,1637,23,550,Local - Social Contact,Federal Administration Tribal Area,Khyber
10-Nov-20,1708,21,634,Local - Social Contact,Khyber Pakhtunkhwa,Kohat
11-Nov-20,1808,34,784,Local - Social Contact,Federal Administration Tribal Area,Kurrum
12-Nov-20,2304,37,714,Local - Social Contact,Khyber Pakhtunkhwa,Mansehra
13-Nov-20,2165,17,851,Local - Social Contact,Khyber Pakhtunkhwa,Mardan
14-Nov-20,2443,32,811,Local - Social Contact,Khyber Pakhtunkhwa,Orakzai
15-Nov-20,2128,19,599,Local - Social Contact,Khyber Pakhtunkhwa,Tank
16-Nov-20,2050,33,1010,Local - Social Contact,Federal Administration Tribal Area,South Waziristan
17-Nov-20,2298,37,954,Local - Social Contact,Sindh,Karachi
18-Nov-20,2547,18,886,Local - Social Contact,Punjab,Lodhran
19-Nov-20,2738,313,868,Local - Social Contact,Punjab,Lahore
20-Nov-20,2843,42,1389,Local - Social Contact,Punjab,Rawalpindi
21-Nov-20,2665,59,897,Local - Social Contact,Baluchistan,Quetta
22-Nov-20,2756,34,1057,Local - Social Contact,Punjab,Gujrat
23-Nov-20,2954,48,875,Local - Social Contact,Punjab,Gujranwala
24-Nov-20,3009,59,1214,Local - Social Contact,Punjab,Narowal
25-Nov-20,3306,40,1418,Local - Social Contact,Punjab,Sargodha
26-Nov-20,3113,54,1489,Local - Social Contact,Punjab,Sialkot
27-Nov-20,3045,45,1672,Local - Social Contact,Punjab,Bahawal Nagar
28-Nov-20,2829,43,2257,Iran/Taftan,Punjab,Multan
29-Nov-20,2839,40,1613,Iran/Taftan,Punjab,Raiwind
30-Nov-20,2458,66,1863,Tableeghi Jamaat,Punjab,Raiwind
1-Dec-20,2829,75,2079,Unknown,Gilgit Baltistan,Astore
2-Dec-20,3499,39,1586,Local - Social Contact,Sindh,Karachi
3-Dec-20,3262,55,3354,Tableeghi Jamaat,Sindh,Hyderabad
4-Dec-20,3119,43,2224,Iran/Taftan,Sindh,Sukkur
5-Dec-20,3308,58,2483,Iran/Taftan,Punjab,Lahore
6-Dec-20,3795,37,1530,Iran/Taftan,Islamabad Capital Territory,Islamabad
7-Dec-20,2885,89,13932,Local - Social Contact,Baluchistan,Quetta
8-Dec-20,2963,60,1797,Local - Social Contact,Khyber Pakhtunkhwa,Buner
9-Dec-20,3138,56,2030,Local - Social Contact,Khyber Pakhtunkhwa,Abbottabad
10-Dec-20,3047,50,4791,Local - Social Contact,Khyber Pakhtunkhwa,Dir Lower
11-Dec-20,2729,71,2116,Local - Social Contact,Khyber Pakhtunkhwa,Dir Upper
12-Dec-20,3369,72,1792,Local - Social Contact,Khyber Pakhtunkhwa,Hangu
13-Dec-20,2362,36,1719,Local - Social Contact,Khyber Pakhtunkhwa,Karak
14-Dec-20,2459,73,1614,Local - Social Contact,Khyber Pakhtunkhwa,Kohat
15-Dec-20,2731,105,2265,Local - Social Contact,Khyber Pakhtunkhwa,Mansehra
16-Dec-20,2545,70,7993,Local - Social Contact,Khyber Pakhtunkhwa,Nowshera
17-Dec-20,2972,84,3261,Local - Social Contact,Khyber Pakhtunkhwa,Peshawar
18-Dec-20,3179,86,4649,Local - Social Contact,Khyber Pakhtunkhwa,Swabi
19-Dec-20,2615,80,2904,Local - Social Contact,Punjab,Gujranwala
20-Dec-20,1680,62,1680,Local - Social Contact,Punjab,Rawalpindi
21-Dec-20,1704,82,1852,Local - Social Contact,Punjab,Mandi Bahauddin
22-Dec-20,2142,83,4415,Local - Social Contact,Punjab,Vehari
23-Dec-20,2256,111,1782,Iran/Taftan,Punjab,Dera Ghazi Khan
24-Dec-20,2152,85,1824,Iran/Taftan,Punjab,Raiwind
25-Dec-20,2260,63,1531,Iran/Taftan,Punjab,Faisalabad
26-Dec-20,1853,58,1643,Iran/Taftan,Gilgit Baltistan,Shigar
27-Dec-20,1974,55,1760,Iran/Taftan,Gilgit Baltistan,Nagar
28-Dec-20,1776,63,1602,Iran/Taftan,Gilgit Baltistan,Astore
29-Dec-20,2155,55,4619,Iran/Taftan,Islamabad Capital Territory,Islamabad
30-Dec-20,2475,58,4960,Local - Social Contact,Sindh,Karachi
31-Dec-20,2463,71,2156,Local - Social Contact,Khyber Pakhtunkhwa,Peshawar
1-Jan-21,2184,82,1745,Local - Social Contact,Khyber Pakhtunkhwa,Abbottabad
2-Jan-21,2272,53,1686,Local - Social Contact,Khyber Pakhtunkhwa,Buner
3-Jan-21,1895,39,1797,Local - Social Contact,Khyber Pakhtunkhwa,Dir Upper
4-Jan-21,1947,59,1903,Local - Social Contact,Khyber Pakhtunkhwa,Hangu
5-Jan-21,2118,52,4033,Local - Social Contact,Khyber Pakhtunkhwa,Mansehra
6-Jan-21,2481,50,2122,Local - Social Contact,Khyber Pakhtunkhwa,Swat
7-Jan-21,2435,47,3313,Local - Social Contact,Punjab,Lahore
8-Jan-21,2007,40,1617,Local - Social Contact,Punjab,Gujrat
9-Jan-21,2899,46,1524,Local - Social Contact,Punjab,Jehlum
10-Jan-21,1877,32,1402,Local - Social Contact,Punjab,Gujranwala
11-Jan-21,2408,41,3606,Local - Social Contact,Punjab,Rawalpindi
12-Jan-21,2123,55,2973,Local - Social Contact,Punjab,Chiniot
13-Jan-21,3097,46,2284,Local - Social Contact,Punjab,Rahim Yar Khan
14-Jan-21,2417,45,2072,Local - Social Contact,Punjab,Sialkot
15-Jan-21,2432,45,2793,Local - Social Contact,Punjab,Vehari
16-Jan-21,2521,43,1540,Local - Social Contact,Punjab,Bahawalpur
17-Jan-21,1920,46,1589,Local - Social Contact,Punjab,Sheikhupura
18-Jan-21,1800,58,1243,Tableeghi Jamaat,Punjab,Dera Ghazi Khan
19-Jan-21,1772,48,2046,Tableeghi Jamaat,Punjab,Multan
20-Jan-21,2363,54,2452,Tableeghi Jamaat,Punjab,Raiwind
21-Jan-21,1745,47,1802,Local - Social Contact,Islamabad Capital Territory,Islamabad
22-Jan-21,1927,43,1737,Local - Social Contact,Khyber Pakhtunkhwa,Peshawar
23-Jan-21,1594,48,1981,Local - Social Contact,Punjab,Lahore
